,countyFIPS,County Name,State_x,population,Male,Female,Under 18 years,18 years and over,65 years and over
489,37057,Davidson County,NC,167609,"84,979","87,607","37,030","135,556","32,860"
490,37063,Durham County,NC,321488,"157,180","175,500","64,355","268,325","49,253"
491,37067,Forsyth County,NC,382295,"184,815","204,342","86,909","302,248","66,587"
492,37069,Franklin County,NC,69685,"35,176","39,363","15,949","58,590","12,973"
493,37071,Gaston County,NC,224529,"113,844","120,371","51,765","182,450","38,697"
494,37081,Guilford County,NC,537174,"259,362","286,739","118,120","427,981","88,476"
495,37085,Harnett County,NC,135976,"68,463","70,369","35,047","103,785","19,427"
496,37089,Henderson County,NC,117417,"56,031","62,075","21,272","96,834","31,825"
497,37097,Iredell County,NC,181806,"96,787","99,110","43,073","152,824","33,776"
498,37101,Johnston County,NC,209339,"116,010","118,768","57,198","177,580","33,124"
499,37105,Lee County,NC,61779,"32,297","33,179","15,682","49,794","11,773"
500,37109,Lincoln County,NC,86111,"47,487","45,608","19,150","73,945","18,062"
501,37119,Mecklenburg County,NC,1110356,"554,525","590,867","256,502","888,890","139,061"
502,37125,Moore County,NC,100880,"51,084","54,447","22,664","82,867","25,090"
503,37127,Nash County,NC,94298,"47,614","48,175","21,127","74,662","18,977"
504,37129,New Hanover County,NC,234473,"111,483","123,438","40,898","194,023","44,842"
505,37133,Onslow County,NC,197938,"114,926","92,372","50,996","156,302","21,518"
506,37135,Orange County,NC,148476,"70,314","80,163","27,491","122,986","24,710"
507,37141,Pender County,NC,63060,"32,900","32,837","14,455","51,282","12,204"
508,37147,Pitt County,NC,180742,"82,048","91,494","36,621","136,921","25,748"
509,37151,Randolph County,NC,143667,"72,473","73,570","32,157","113,886","27,331"
510,37155,Robeson County,NC,130625,"56,361","60,302","29,482","87,181","19,107"
511,37157,Rockingham County,NC,91010,"45,602","46,355","18,489","73,468","19,535"
512,37159,Rowan County,NC,142088,"74,101","75,544","32,099","117,546","27,129"
513,37171,Surry County,NC,71783,"35,468","35,935","14,732","56,671","14,784"
514,37179,Union County,NC,239859,"124,727","124,343","62,808","186,262","33,835"
515,37183,Wake County,NC,1111761,"577,073","597,948","266,490","908,531","153,145"
516,37191,Wayne County,NC,123131,"58,171","59,115","27,424","89,862","19,981"
517,37193,Wilkes County,NC,68412,"33,935","31,849","13,114","52,670","15,393"
518,37195,Wilson County,NC,81801,"37,123","41,326","17,672","60,777","15,498"
519,38015,Burleigh County,ND,95626,"49,748","49,532","23,203","76,077","17,928"
520,38017,Cass County,ND,181923,"99,746","92,988","42,123","150,611","25,165"
521,38035,Grand Forks County,ND,69451,"37,547","34,866","14,585","57,828","10,336"
522,38101,Ward County,ND,67641,"35,581","33,289","16,514","52,356","9,527"
523,39003,Allen County,OH,102351,"51,278","49,837","23,495","77,620","19,316"
524,39007,Ashtabula County,OH,97241,"49,422","47,592","20,999","76,015","19,747"
525,39013,Belmont County,OH,67006,"33,150","32,359","12,463","53,046","14,475"
526,39017,Butler County,OH,383134,"191,220","197,200","89,679","298,741","63,794"
527,39023,Clark County,OH,134083,"66,303","68,528","29,427","105,404","27,627"
528,39025,Clermont County,OH,206428,"104,700","106,105","46,279","164,526","39,140"
529,39029,Columbiana County,OH,101883,"50,783","49,728","20,399","80,112","21,845"
530,39035,Cuyahoga County,OH,1235072,"593,726","642,315","251,041","985,000","242,286"
531,39041,Delaware County,OH,209177,"113,093","113,203","55,396","170,900","34,268"
532,39043,Erie County,OH,74266,"36,681","37,820","13,935","60,566","17,715"
533,39045,Fairfield County,OH,157574,"81,597","81,301","38,455","124,443","27,439"
534,39049,Franklin County,OH,1316756,"650,654","671,166","302,915","1,018,905","174,819"
535,39055,Geauga County,OH,93649,"48,072","47,397","21,204","74,265","21,495"
536,39057,Greene County,OH,168937,"84,604","83,852","34,486","133,970","32,169"
537,39061,Hamilton County,OH,817473,"401,298","423,739","186,100","638,937","139,127"
538,39063,Hancock County,OH,75783,"37,169","37,692","16,078","58,783","13,975"
539,39085,Lake County,OH,230149,"115,072","116,770","44,147","187,695","50,280"
540,39089,Licking County,OH,176862,"90,413","90,946","41,150","140,209","32,332"
541,39093,Lorain County,OH,309833,"156,670","159,598","67,724","248,544","62,951"
542,39095,Lucas County,OH,428348,"207,894","218,749","96,669","329,974","74,954"
543,39099,Mahoning County,OH,228683,"110,768","114,868","45,270","180,366","51,020"
544,39101,Marion County,OH,65093,"33,911","30,731","13,761","50,881","12,177"
545,39103,Medina County,OH,179746,"91,712","91,800","38,801","144,711","36,994"
546,39109,Miami County,OH,106987,"55,590","54,657","25,052","85,195","21,537"
547,39113,Montgomery County,OH,531687,"258,205","275,687","116,762","417,130","100,048"
548,39119,Muskingum County,OH,86215,"42,265","43,848","19,335","66,778","16,015"
549,39133,Portage County,OH,162466,"79,841","81,904","28,325","133,420","30,001"
550,39139,Richland County,OH,121154,"65,074","60,245","27,015","98,304","24,950"
551,39141,Ross County,OH,76666,"40,181","36,425","16,061","60,545","13,417"
552,39145,Scioto County,OH,75314,"36,583","35,611","15,717","56,477","13,762"
553,39151,Stark County,OH,370606,"182,305","190,352","79,519","293,138","77,247"
554,39153,Summit County,OH,541013,"261,597","274,285","109,627","426,255","105,433"
555,39155,Trumbull County,OH,197974,"100,323","100,320","40,959","159,684","45,078"
556,39157,Tuscarawas County,OH,91987,"45,753","46,184","20,707","71,230","18,912"
557,39159,Union County,OH,58988,"32,663","34,235","15,623","51,275","10,000"
558,39165,Warren County,OH,234602,"127,193","122,585","58,699","191,079","39,526"
559,39169,Wayne County,OH,115710,"57,790","58,769","27,620","88,939","22,145"
560,39173,Wood County,OH,130817,"66,542","65,050","26,336","105,256","22,668"
561,40017,Canadian County,OK,148306,"84,042","85,107","42,987","126,162","23,410"
562,40027,Cleveland County,OK,284014,"150,260","149,327","60,307","239,280","44,345"
563,40031,Comanche County,OK,120749,"63,882","59,164","29,311","93,735","16,699"
564,40037,Creek County,OK,71522,"35,553","37,146","16,635","56,064","13,544"
565,40101,Muskogee County,OK,67997,"31,927","34,427","16,213","50,141","11,510"
566,40109,Oklahoma County,OK,797434,"395,098","407,461","200,456","602,103","117,421"
567,40119,Payne County,OK,81784,"42,435","40,359","15,042","67,752","11,394"
